CVE ID          Severity  Package           Fixed In                 EPSS Score  Strategy
------          --------  -------           --------                 ----------  --------
CVE-2025-15467  Critical  libssl3           3.0.18-1~deb12u2         0.48211     Version bump
CVE-2025-15467  Critical  openssl           3.0.18-1~deb12u2         0.48211     Version bump
CVE-2024-5535   Critical  libssl3           3.0.15-1~deb12u1         0.05582     Version bump
CVE-2024-5535   Critical  openssl           3.0.15-1~deb12u1         0.05582     Version bump
CVE-2026-42533  Critical  nginx             not fixed                0.04452     Backport patch
CVE-2024-37371  Critical  libgssapi-krb5-2  1.20.1-2+deb12u2         0.01863     Version bump
CVE-2024-37371  Critical  libk5crypto3      1.20.1-2+deb12u2         0.01863     Version bump
CVE-2024-37371  Critical  libkrb5-3         1.20.1-2+deb12u2         0.01863     Version bump
CVE-2024-37371  Critical  libkrb5support0   1.20.1-2+deb12u2         0.01863     Version bump
CVE-2025-49796  Critical  libxml2           2.9.14+dfsg-1.3~deb12u3  0.0149      Version bump
CVE-2024-45492  Critical  libexpat1         2.5.0-1+deb12u1          0.01393     Version bump
CVE-2024-5171   Critical  libaom3           3.6.0-1+deb12u1          0.01254     Version bump
CVE-2023-6879   Critical  libaom3           not fixed                0.01175     Remove
CVE-2024-56171  Critical  libxml2           2.9.14+dfsg-1.3~deb12u2  0.01155     Version bump
CVE-2024-45491  Critical  libexpat1         2.5.0-1+deb12u1          0.0113      Version bump
CVE-2026-42010  Critical  libgnutls30       3.7.9-2+deb12u7          0.0105      Version bump
CVE-2026-10536  Critical  curl              not fixed                0.00891     Remove
CVE-2026-10536  Critical  libcurl4          not fixed                0.00891     Remove
CVE-2026-19931  Critical  curl              not fixed                0.00788     Remove
CVE-2026-19931  Critical  libcurl4          not fixed                0.00788     Remove
CVE-2026-33845  Critical  libgnutls30       3.7.9-2+deb12u7          0.00805     Version bump
CVE-2025-49794  Critical  libxml2           2.9.14+dfsg-1.3~deb12u3  0.00776     Version bump
CVE-2026-11856  Critical  curl              not fixed                0.00688     Remove
CVE-2026-11856  Critical  libcurl4          not fixed                0.00688     Remove
CVE-2025-0838   Critical  libabsl20220623   20220623.1-1+deb12u1     0.00614     Version bump
CVE-2026-18924  Critical  curl              not fixed                0.00608     Remove
CVE-2026-18924  Critical  libcurl4          not fixed                0.00608     Remove
CVE-2026-8924   Critical  curl              not fixed                0.0056      Remove
CVE-2026-8924   Critical  libcurl4          not fixed                0.0056      Remove
CVE-2026-5450   Critical  libc-bin          not fixed                0.00502     Remove
CVE-2026-5450   Critical  libc6             not fixed                0.00502     Remove
CVE-2026-8927   Critical  curl              not fixed                0.005       Remove
CVE-2026-8927   Critical  libcurl4          not fixed                0.005       Remove
CVE-2026-7598   Critical  libssh2-1         1.10.0-3+deb12u1         0.00466     Version bump
CVE-2026-8376   Critical  perl-base         not fixed                0.00443     Remove
CVE-2026-34182  Critical  libssl3           3.0.20-1~deb12u2         0.00435     Version bump
CVE-2026-34182  Critical  openssl           3.0.20-1~deb12u2         0.00435     Version bump
CVE-2026-13221  Critical  perl-base         not fixed                0.00432     Remove
CVE-2026-42496  Critical  perl-base         not fixed                0.0043      Remove
CVE-2026-52490  Critical  libtiff6          not fixed                0.00403     Remove
CVE-2026-12087  Critical  perl-base         not fixed                0.00374     Remove
CVE-2026-57433  Critical  perl-base         not fixed                0.00357     Remove
CVE-2026-6653   Critical  libxml2           not fixed                0.00355     Remove
CVE-2025-48174  Critical  libavif15         0.11.1-1+deb12u1         0.0036      Version bump
CVE-2026-31789  Critical  libssl3           3.0.19-1~deb12u2         0.00243     Version bump
CVE-2026-31789  Critical  openssl           3.0.19-1~deb12u2         0.00243     Version bump
CVE-2026-75803  Critical  libssl3           not fixed                0.00207     Remove
CVE-2026-75803  Critical  openssl           not fixed                0.00207     Remove
